
         1   8  7.639085E+02 -1.483911E+02 -4.422862E+01 -2.484148E+02  8.775521E+00  1.203338E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.1000000E+00

         1   1  5.045332E-03 -1.780886E-03 -1.238291E-03 -1.382339E-03  1.096075E-05  2.506883E-05
         1   2  4.733653E-03 -1.588483E-03 -1.219650E-03 -1.775669E-03 -5.725317E-06  1.993004E-05
         1   3  4.188913E-03 -1.850699E-03 -1.095770E-03 -1.130602E-03  1.481148E-05  4.533265E-06
         1   4  3.877511E-03 -1.658574E-03 -1.080243E-03 -1.523601E-03  1.066791E-05 -1.278812E-05
         1   5  5.006554E-03 -1.831394E-03 -1.238291E-03 -1.384168E-03  5.731667E-05  1.143275E-04
         1   6  4.706891E-03 -1.671047E-03 -1.219650E-03 -1.766816E-03  3.988625E-05  1.071398E-04
         1   7  4.183141E-03 -1.889560E-03 -1.095770E-03 -1.154442E-03  5.912507E-05  9.455154E-05
         1   8  3.883732E-03 -1.729467E-03 -1.080243E-03 -1.536787E-03  5.423775E-05  7.518308E-05

 displacements (vx,vy,vz) for set NALL and time  0.1500000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  4.349049E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -1.444178E+00  0.000000E+00
         4  3.163259E+00 -1.167631E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -1.357743E+00
         6  4.273941E+00  0.000000E+00 -1.322132E+00
         7  0.000000E+00 -1.503692E+00 -1.097369E+00
         8  3.165753E+00 -1.303231E+00 -1.071610E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.1500000E+00

         1   1  1.605392E+03 -6.246040E+01  6.737470E+01 -3.357234E+02  2.675005E+00  5.972297E+00
         1   2  1.511459E+03 -3.456380E+01  5.369038E+01 -4.304976E+02 -1.357515E+00  4.753467E+00
         1   3  1.250861E+03 -2.199999E+02 -3.921975E+01 -2.738797E+02  3.603225E+00  1.046356E+00
         1   4  1.156617E+03 -1.928915E+02 -5.426250E+01 -3.683645E+02  2.605408E+00 -3.092805E+00
         1   5  1.579661E+03 -9.051971E+01  5.138565E+01 -3.361388E+02  1.391458E+01  2.725305E+01
         1   6  1.485011E+03 -7.389282E+01  3.408458E+01 -4.282933E+02  9.637241E+00  2.554379E+01
         1   7  1.241366E+03 -2.372860E+02 -4.724770E+01 -2.797031E+02  1.431689E+01  2.251083E+01
         1   8  1.146386E+03 -2.214270E+02 -6.591386E+01 -3.715930E+02  1.307403E+01  1.788304E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.1500000E+00

         1   1  7.537074E-03 -2.662482E-03 -1.849192E-03 -2.067296E-03  1.634818E-05  3.741610E-05
         1   2  7.072092E-03 -2.375702E-03 -1.821587E-03 -2.654138E-03 -8.435013E-06  2.979282E-05
         1   3  6.259589E-03 -2.766401E-03 -1.636525E-03 -1.692088E-03  2.205711E-05  6.727366E-06
         1   4  5.795221E-03 -2.480237E-03 -1.613594E-03 -2.278197E-03  1.588820E-05 -1.906995E-05
         1   5  7.479489E-03 -2.738005E-03 -1.849192E-03 -2.070079E-03  8.537946E-05  1.706511E-04
         1   6  7.032349E-03 -2.499054E-03 -1.821587E-03 -2.641101E-03  5.947912E-05  1.599506E-04
         1   7  6.250997E-03 -2.824560E-03 -1.636525E-03 -1.727648E-03  8.802585E-05  1.411135E-04
         1   8  5.804418E-03 -2.586170E-03 -1.613594E-03 -2.298002E-03  8.074116E-05  1.122430E-04

 displacements (vx,vy,vz) for set NALL and time  0.2000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  5.766863E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -1.920921E+00  0.000000E+00
         4  4.198205E+00 -1.556192E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -1.802800E+00
         6  5.667938E+00  0.000000E+00 -1.755847E+00
         7  0.000000E+00 -2.000124E+00 -1.457210E+00
         8  4.201417E+00 -1.736196E+00 -1.423419E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.2000000E+00

         1   1  2.140955E+03 -8.312768E+01  8.919291E+01 -4.470833E+02  3.561595E+00  7.892818E+00
         1   2  2.016056E+03 -4.634325E+01  7.097106E+01 -5.727697E+02 -1.776033E+00  6.290761E+00
         1   3  1.668031E+03 -2.915660E+02 -5.181068E+01 -3.646092E+02  4.787611E+00  1.362668E+00
         1   4  1.542823E+03 -2.559248E+02 -7.186061E+01 -4.897882E+02  3.466012E+00 -4.105388E+00
         1   5  2.106773E+03 -1.202458E+02  6.806146E+01 -4.476314E+02  1.847963E+01  3.602587E+01
         1   6  1.980906E+03 -9.838317E+01  4.503611E+01 -5.698408E+02  1.278815E+01  3.377198E+01
         1   7  1.655408E+03 -3.144694E+02 -6.245802E+01 -3.723656E+02  1.899120E+01  2.974186E+01
         1   8  1.529198E+03 -2.937148E+02 -8.732321E+01 -4.941109E+02  1.731541E+01  2.362511E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.2000000E+00

         1   1  1.000876E-02 -3.538344E-03 -2.454742E-03 -2.748201E-03  2.167566E-05  4.964220E-05
         1   2  9.392112E-03 -3.158390E-03 -2.418394E-03 -3.526520E-03 -1.104990E-05  3.958805E-05
         1   3  8.314823E-03 -3.675849E-03 -2.172647E-03 -2.251080E-03  2.920036E-05  8.875341E-06
         1   4  7.699251E-03 -3.296971E-03 -2.142538E-03 -3.028117E-03  2.103385E-05 -2.527978E-05
         1   5  9.932733E-03 -3.638725E-03 -2.454742E-03 -2.751962E-03  1.130619E-04  2.264308E-04
         1   6  9.339638E-03 -3.322206E-03 -2.418394E-03 -3.509454E-03  7.884613E-05  2.122692E-04
         1   7  8.303448E-03 -3.753214E-03 -2.172647E-03 -2.298232E-03  1.165050E-04  1.872139E-04
         1   8  7.711337E-03 -3.437678E-03 -2.142538E-03 -3.054552E-03  1.068507E-04  1.489585E-04

 displacements (vx,vy,vz) for set NALL and time  0.2500000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  7.169360E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -2.395413E+00  0.000000E+00
         4  5.223747E+00 -1.944425E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -2.244217E+00
         6  7.047184E+00  0.000000E+00 -2.186168E+00
         7  0.000000E+00 -2.494232E+00 -1.814169E+00
         8  5.227620E+00 -2.168452E+00 -1.772602E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.2500000E+00

         1   1  2.676720E+03 -1.037193E+02  1.107061E+02 -5.581792E+02  4.445718E+00  9.779760E+00
         1   2  2.521018E+03 -5.824893E+01  8.795699E+01 -7.144508E+02 -2.178973E+00  7.805209E+00
         1   3  2.085305E+03 -3.622818E+02 -6.417037E+01 -4.550718E+02  5.964065E+00  1.663609E+00
         1   4  1.929347E+03 -3.183519E+02 -8.922472E+01 -6.105616E+02  4.322424E+00 -5.109293E+00
         1   5  2.634146E+03 -1.497556E+02  8.452044E+01 -5.588573E+02  2.301020E+01  4.464979E+01
         1   6  2.477220E+03 -1.228089E+02  5.579036E+01 -7.108023E+02  1.590970E+01  4.186305E+01
         1   7  2.069570E+03 -3.907325E+02 -7.741029E+01 -4.647574E+02  2.361925E+01  3.684250E+01
         1   8  1.912337E+03 -3.652720E+02 -1.084639E+02 -6.159869E+02  2.150135E+01  2.926226E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.2500000E+00

         1   1  1.246079E-02 -4.408592E-03 -3.055041E-03 -3.425121E-03  2.694465E-05  6.174973E-05
         1   2  1.169408E-02 -3.936655E-03 -3.010166E-03 -4.392931E-03 -1.357498E-05  4.931625E-05
         1   3  1.035491E-02 -4.579169E-03 -2.704222E-03 -2.807612E-03  3.624433E-05  1.097877E-05
         1   4  9.589855E-03 -4.108886E-03 -2.667150E-03 -3.773450E-03  2.610570E-05 -3.141962E-05
         1   5  1.236667E-02 -4.533675E-03 -3.055041E-03 -3.429880E-03  1.403757E-04  2.816781E-04
         1   6  1.162911E-02 -4.140617E-03 -3.010166E-03 -4.371981E-03  9.799278E-05  2.641056E-04
         1   7  1.034078E-02 -4.675649E-03 -2.704222E-03 -2.866230E-03  1.445762E-04  2.328629E-04
         1   8  9.604738E-03 -4.284104E-03 -2.667150E-03 -3.806527E-03  1.325781E-04  1.853364E-04

 displacements (vx,vy,vz) for set NALL and time  0.3000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  8.556888E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -2.867697E+00  0.000000E+00
         4  6.240077E+00 -2.332330E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -2.682064E+00
         6  8.412005E+00  0.000000E+00 -2.613154E+00
         7  0.000000E+00 -2.986057E+00 -2.168298E+00
         8  6.244548E+00 -2.600010E+00 -2.119199E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.3000000E+00

         1   1  3.212677E+03 -1.242357E+02  1.319226E+02 -6.690165E+02  5.327417E+00  1.163399E+01
         1   2  3.026331E+03 -7.027916E+01  1.046557E+02 -8.555537E+02 -2.567116E+00  9.297247E+00
         1   3  2.502680E+03 -4.321665E+02 -7.630440E+01 -5.452761E+02  7.132823E+00  1.949663E+00
         1   4  2.316180E+03 -3.801873E+02 -1.063609E+02 -7.307028E+02  5.174512E+00 -6.104797E+00
         1   5  3.161770E+03 -1.790536E+02  1.007680E+02 -6.698222E+02  2.750747E+01  5.312867E+01
         1   6  2.973939E+03 -1.471731E+02  6.635174E+01 -8.511909E+02  1.900268E+01  4.982043E+01
         1   7  2.483851E+03 -4.660956E+02 -9.211096E+01 -5.568869E+02  2.820257E+01  4.381611E+01
         1   8  2.295792E+03 -4.361159E+02 -1.293429E+02 -7.372386E+02  2.563349E+01  3.479705E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.3000000E+00

         1   1  1.489354E-02 -5.273340E-03 -3.650190E-03 -4.098119E-03  3.215656E-05  7.374118E-05
         1   2  1.397834E-02 -4.710601E-03 -3.596992E-03 -5.253479E-03 -1.601500E-05  5.897794E-05
         1   3  1.238013E-02 -5.476482E-03 -3.231332E-03 -3.361720E-03  4.319199E-05  1.303916E-05
         1   4  1.146728E-02 -4.916088E-03 -3.187502E-03 -4.514284E-03  3.110460E-05 -3.749137E-05
         1   5  1.478167E-02 -5.422968E-03 -3.650190E-03 -4.103897E-03  1.673322E-04  3.364043E-04
         1   6  1.390111E-02 -4.954395E-03 -3.596992E-03 -5.228786E-03  1.169243E-04  3.154693E-04
         1   7  1.236329E-02 -5.591986E-03 -3.231332E-03 -3.431681E-03  1.722529E-04  2.780704E-04
         1   8  1.148487E-02 -5.125558E-03 -3.187502E-03 -4.554012E-03  1.579345E-04  2.213838E-04

 displacements (vx,vy,vz) for set NALL and time  0.3500000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  9.929785E+00  0.000000E+00  0.000000E+00
         3  0.000000E+00 -3.337814E+00  0.000000E+00
         4  7.247376E+00 -2.719908E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -3.116407E+00
         6  9.762715E+00  0.000000E+00 -3.036864E+00
         7  0.000000E+00 -3.475641E+00 -2.519647E+00
         8  7.252387E+00 -3.030878E+00 -2.463249E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.3500000E+00

         1   1  3.748818E+03 -1.446773E+02  1.528507E+02 -7.796009E+02  6.206739E+00  1.345635E+01
         1   2  3.531983E+03 -8.243228E+01  1.210744E+02 -9.960909E+02 -2.941200E+00  1.076730E+01
         1   3  2.920156E+03 -5.012382E+02 -8.821816E+01 -6.352303E+02  8.294112E+00  2.221293E+00
         1   4  2.703313E+03 -4.414450E+02 -1.232749E+02 -8.502293E+02  6.022158E+00 -7.092166E+00
         1   5  3.689634E+03 -2.081437E+02  1.168094E+02 -7.805317E+02  3.197257E+01  6.146620E+01
         1   6  3.471049E+03 -1.714789E+02  7.672449E+01 -9.910189E+02  2.206786E+01  5.764742E+01
         1   7  2.898247E+03 -5.405782E+02 -1.065662E+02 -6.487625E+02  3.274265E+01  5.066589E+01
         1   8  2.679555E+03 -5.062629E+02 -1.499670E+02 -8.578832E+02  2.971340E+01  4.023195E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.3500000E+00

         1   1  1.730740E-02 -6.132700E-03 -4.240285E-03 -4.767258E-03  3.731272E-05  8.561895E-05
         1   2  1.624524E-02 -5.480329E-03 -4.178961E-03 -6.108272E-03 -1.837448E-05  6.857369E-05
         1   3  1.439077E-02 -6.367909E-03 -3.754058E-03 -3.913438E-03  5.004620E-05  1.505796E-05
         1   4  1.333175E-02 -5.718680E-03 -3.703667E-03 -5.250706E-03  3.603142E-05 -4.349684E-05
         1   5  1.717809E-02 -6.306719E-03 -4.240285E-03 -4.774072E-03  1.939423E-04  3.906200E-04
         1   6  1.615596E-02 -5.763645E-03 -4.178961E-03 -6.079971E-03  1.356459E-04  3.663698E-04
         1   7  1.437122E-02 -6.502344E-03 -3.754058E-03 -3.994619E-03  1.995475E-04  3.228460E-04
         1   8  1.335196E-02 -5.962146E-03 -3.703667E-03 -5.297088E-03  1.829308E-04  2.571071E-04

 displacements (vx,vy,vz) for set NALL and time  0.4000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.128838E+01  0.000000E+00  0.000000E+00
         3  0.000000E+00 -3.805805E+00  0.000000E+00
         4  8.245824E+00 -3.107158E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -3.547312E+00
         6  1.109962E+01  0.000000E+00 -3.457351E+00
         7  0.000000E+00 -3.963023E+00 -2.868265E+00
         8  8.251311E+00 -3.461066E+00 -2.804792E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.4000000E+00

         1   1  4.285136E+03 -1.650448E+02  1.734981E+02 -8.899374E+02  7.083732E+00  1.524764E+01
         1   2  4.037961E+03 -9.470667E+01  1.372201E+02 -1.136074E+03 -3.301926E+00  1.221578E+01
         1   3  3.337730E+03 -5.695146E+02 -9.991682E+01 -7.249423E+02  9.448154E+00  2.478941E+00
         1   4  3.090737E+03 -5.021384E+02 -1.399725E+02 -9.691578E+02  6.865254E+00 -8.071656E+00
         1   5  4.217730E+03 -2.370300E+02  1.326498E+02 -8.909913E+02  3.640661E+01  6.966597E+01
         1   6  3.968537E+03 -1.957290E+02  8.691270E+01 -1.130298E+03  2.510601E+01  6.534720E+01
         1   7  3.312756E+03 -6.141992E+02 -1.207820E+02 -7.403921E+02  3.724092E+01  5.739493E+01
         1   8  3.063617E+03 -5.757289E+02 -1.703425E+02 -9.779372E+02  3.374260E+01  4.556934E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.4000000E+00

         1   1  1.970272E-02 -6.986779E-03 -4.825419E-03 -5.432597E-03  4.241444E-05  9.738540E-05
         1   2  1.849511E-02 -6.245935E-03 -4.756156E-03 -6.957412E-03 -2.065766E-05  7.810406E-05
         1   3  1.638709E-02 -7.253563E-03 -4.272477E-03 -4.462799E-03  5.680968E-05  1.703655E-05
         1   4  1.518351E-02 -6.516762E-03 -4.215713E-03 -5.982795E-03  4.088701E-05 -4.943779E-05
         1   5  1.955629E-02 -7.185034E-03 -4.825419E-03 -5.440463E-03  2.202163E-04  4.443357E-04
         1   6  1.839397E-02 -6.568468E-03 -4.756156E-03 -6.925632E-03  1.541624E-04  4.168161E-04
         1   7  1.636486E-02 -7.406835E-03 -4.272477E-03 -4.555080E-03  2.264723E-04  3.671988E-04
         1   8  1.520625E-02 -6.793970E-03 -4.215713E-03 -6.035836E-03  2.075772E-04  2.925129E-04

 displacements (vx,vy,vz) for set NALL and time  0.4500000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.263297E+01  0.000000E+00  0.000000E+00
         3  0.000000E+00 -4.271708E+00  0.000000E+00
         4  9.235591E+00 -3.494081E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -3.974840E+00
         6  1.242301E+01  0.000000E+00 -3.874670E+00
         7  0.000000E+00 -4.448244E+00 -3.214199E+00
         8  9.241491E+00 -3.890582E+00 -3.143863E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.4500000E+00

         1   1  4.821622E+03 -1.853386E+02  1.938723E+02 -1.000031E+03  7.958442E+00  1.700863E+01
         1   2  4.544252E+03 -1.071007E+02  1.530995E+02 -1.275516E+03 -3.649955E+00  1.364309E+01
         1   3  3.755400E+03 -6.370128E+02 -1.114053E+02 -8.144199E+02  1.059516E+01  2.723031E+00
         1   4  3.478445E+03 -5.622806E+02 -1.564589E+02 -1.087505E+03  7.703708E+00 -9.043508E+00
         1   5  4.746048E+03 -2.657162E+02  1.482939E+02 -1.001206E+03  4.081065E+01  7.773138E+01
         1   6  4.466387E+03 -2.199262E+02  9.692033E+01 -1.269040E+03  2.811786E+01  7.292282E+01
         1   7  3.727374E+03 -6.869767E+02 -1.347639E+02 -8.317836E+02  4.169875E+01  6.400619E+01
         1   8  3.447969E+03 -6.445291E+02 -1.904758E+02 -1.097416E+03  3.772255E+01  5.081151E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.4500000E+00

         1   1  2.207986E-02 -7.835680E-03 -5.405680E-03 -6.094194E-03  4.746298E-05  1.090428E-04
         1   2  2.072826E-02 -7.007514E-03 -5.328659E-03 -7.801000E-03 -2.286861E-05  8.756965E-05
         1   3  1.836934E-02 -8.133555E-03 -4.786664E-03 -5.009835E-03  6.348507E-05  1.897626E-05
         1   4  1.702278E-02 -7.310429E-03 -4.723707E-03 -6.710633E-03  4.567222E-05 -5.531587E-05
         1   5  2.191659E-02 -8.058019E-03 -5.405680E-03 -6.103127E-03  2.461642E-04  4.975613E-04
         1   6  2.061547E-02 -7.368962E-03 -5.328659E-03 -7.765865E-03  1.724786E-04  4.668168E-04
         1   7  1.834445E-02 -8.305570E-03 -4.786664E-03 -5.113099E-03  2.530387E-04  4.111375E-04
         1   8  1.704795E-02 -7.621130E-03 -4.723707E-03 -6.770333E-03  2.318838E-04  3.276071E-04

 displacements (vx,vy,vz) for set NALL and time  0.5000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.396388E+01  0.000000E+00  0.000000E+00
         3  0.000000E+00 -4.735561E+00  0.000000E+00
         4  1.021684E+01 -3.880677E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -4.399053E+00
         6  1.373317E+01  0.000000E+00 -4.288874E+00
         7  0.000000E+00 -4.931339E+00 -3.557494E+00
         8  1.022309E+01 -4.319436E+00 -3.480500E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.5000000E+00

         1   1  5.358268E+03 -2.055592E+02  2.139807E+02 -1.109888E+03  8.830920E+00  1.874006E+01
         1   2  5.050845E+03 -1.196129E+02  1.687190E+02 -1.414426E+03 -3.985916E+00  1.504963E+01
         1   3  4.173164E+03 -7.037491E+02 -1.226885E+02 -9.036704E+02  1.173535E+01  2.953966E+00
         1   4  3.866429E+03 -6.218839E+02 -1.727394E+02 -1.205285E+03  8.537436E+00 -1.000796E+01
         1   5  5.274579E+03 -2.942063E+02  1.637465E+02 -1.111181E+03  4.518571E+01  8.566573E+01
         1   6  4.964589E+03 -2.440731E+02  1.067512E+02 -1.407257E+03  3.110412E+01  8.037721E+01
         1   7  4.142098E+03 -7.589283E+02 -1.485176E+02 -9.229443E+02  4.611748E+01  7.050254E+01
         1   8  3.832605E+03 -7.126783E+02 -2.103727E+02 -1.216336E+03  4.165468E+01  5.596065E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.5000000E+00

         1   1  2.443914E-02 -8.679505E-03 -5.981156E-03 -6.752107E-03  5.245955E-05  1.205932E-04
         1   2  2.294500E-02 -7.765156E-03 -5.896550E-03 -8.639132E-03 -2.501115E-05  9.697106E-05
         1   3  2.033778E-02 -9.007993E-03 -5.296693E-03 -5.554577E-03  7.007490E-05  2.087836E-05
         1   4  1.884977E-02 -8.099773E-03 -5.227713E-03 -7.434295E-03  5.038790E-05 -6.113269E-05
         1   5  2.425933E-02 -8.925775E-03 -5.981156E-03 -6.762120E-03  2.717955E-04  5.503067E-04
         1   6  2.282075E-02 -8.165223E-03 -5.896550E-03 -8.600760E-03  1.905991E-04  5.163805E-04
         1   7  2.031024E-02 -9.198657E-03 -5.296693E-03 -5.668709E-03  2.792581E-04  4.546708E-04
         1   8  1.887728E-02 -8.443721E-03 -5.227713E-03 -7.500654E-03  2.558599E-04  3.623959E-04

 displacements (vx,vy,vz) for set NALL and time  0.5500000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.528139E+01  0.000000E+00  0.000000E+00
         3  0.000000E+00 -5.197400E+00  0.000000E+00
         4  1.118974E+01 -4.266949E+00  0.000000E+00
         5  0.000000E+00  0.000000E+00 -4.820008E+00
         6  1.503037E+01  0.000000E+00 -4.700011E+00
         7  0.000000E+00 -5.412347E+00 -3.898196E+00
         8  1.119628E+01 -4.747637E+00 -3.814737E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set EALL and time  0.5500000E+00

         1   1  5.895068E+03 -2.257073E+02  2.338300E+02 -1.219511E+03  9.701215E+00  2.044265E+01
         1   2  5.557729E+03 -1.322416E+02  1.840849E+02 -1.552816E+03 -4.310405E+00  1.643578E+01
         1   3  4.591019E+03 -7.697395E+02 -1.337709E+02 -9.927010E+02  1.286891E+01  3.172135E+00
         1   4  4.254682E+03 -6.809604E+02 -1.888190E+02 -1.322515E+03  9.366365E+00 -1.096522E+01
         1   5  5.803314E+03 -3.225037E+02  1.790122E+02 -1.220922E+03  4.953279E+01  9.347218E+01
         1   6  5.463130E+03 -2.681722E+02  1.164090E+02 -1.544958E+03  3.406550E+01  8.771322E+01
         1   7  4.556927E+03 -8.300710E+02 -1.620482E+02 -1.013882E+03  5.049837E+01  7.688670E+01
         1   8  4.217515E+03 -7.801907E+02 -2.300392E+02 -1.334711E+03  4.554035E+01  6.101889E+01

 strains (elem, integ.pnt.,exx,eyy,ezz,exy,exz,eyz) forset EALL and time  0.5500000E+00

         1   1  2.678091E-02 -9.518350E-03 -6.551931E-03 -7.406390E-03  5.740531E-05  1.320389E-04
         1   2  2.514562E-02 -8.518948E-03 -6.459905E-03 -9.471902E-03 -2.708895E-05  1.063089E-04
         1   3  2.229266E-02 -9.876981E-03 -5.802632E-03 -6.097056E-03  7.658158E-05  2.274406E-05
         1   4  2.066468E-02 -8.884885E-03 -5.727793E-03 -8.153857E-03  5.503490E-05 -6.688977E-05
         1   5  2.658481E-02 -9.788401E-03 -6.551931E-03 -7.417495E-03  2.971193E-04  6.025812E-04
         1   6  2.501009E-02 -8.957341E-03 -6.459905E-03 -9.430408E-03  2.085283E-04  5.655153E-04
         1   7  2.226248E-02 -1.008620E-02 -5.802632E-03 -6.221943E-03  3.051409E-04  4.978068E-04
         1   8  2.069445E-02 -9.261836E-03 -5.727793E-03 -8.226871E-03  2.795148E-04  3.968849E-04

 displacements (vx,vy,vz) for set NALL and time  0.6000000E+00

         1  0.000000E+00  0.000000E+00  0.000000E+00
         2  1.658578E+01  0.000000E+00  0.000000E+00
